1	0	326,206	71.49	+	79.9%	96.7%	82.6%	0.1%	0.1%	79.7%	80.0%	82.5%	82.8%
1	1	326,206	71.49	+	70.2%	93.4%	75.2%	0.1%	0.1%	70.0%	70.3%	75.0%	75.3%
1	2	326,206	71.49	+	63.1%	90.1%	70.1%	0.1%	0.1%	63.0%	63.3%	69.9%	70.3%
1	3	326,206	71.49	+	57.8%	86.7%	66.6%	0.1%	0.1%	57.6%	57.9%	66.4%	66.8%
1	4	326,206	71.49	+	53.4%	83.3%	64.1%	0.1%	0.1%	53.3%	53.6%	63.9%	64.4%
1	5	326,206	71.49	+	49.9%	79.9%	62.4%	0.1%	0.1%	49.7%	50.0%	62.2%	62.6%
1	6	326,206	71.49	+	46.7%	76.5%	61.0%	0.1%	0.1%	46.5%	46.8%	60.7%	61.2%
1	7	326,206	71.49	+	43.8%	73.2%	59.9%	0.1%	0.1%	43.6%	44.0%	59.6%	60.2%
1	8	326,206	71.49	+	41.2%	69.8%	59.0%	0.1%	0.1%	41.0%	41.4%	58.8%	59.3%
1	9	326,206	71.49	+	38.8%	66.5%	58.3%	0.1%	0.1%	38.6%	39.0%	58.0%	58.6%
